"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Sentence1]]]]: [[No]] Weapons of Mass Destruction Found in Iraq Yet.<SPLIT>[[[[Sentence2]]]]: Weapons of Mass Destruction Found in Iraq.","[[[[Sentence1]]]]: [[nobelium]] Weapons of Mass Destruction Found in Iraq Yet.<SPLIT>[[[[Sentence2]]]]: Weapons of Mass Destruction Found in Iraq.",0.04187661409378052,0.720154881477356,1,0,1,171,"Successful"
"[[[[Sentence1]]]]: A place of sorrow, after Pope John Paul II died, became a place of celebration, as Roman Catholic faithful gathered in downtown Chicago to mark the installation of new Pope Benedict XVI.<SPLIT>[[[[Sentence2]]]]: Pope Benedict XVI is the [[new]] leader of the Roman Catholic Church.","[[[[Sentence1]]]]: A place of sorrow, after Pope John Paul II died, became a place of celebration, as Roman Catholic faithful gathered in downtown Chicago to mark the installation of new Pope Benedict XVI.<SPLIT>[[[[Sentence2]]]]: Pope Benedict XVI is the [[novel]] leader of the Roman Catholic Church.",0.059545159339904785,0.8213273286819458,0,1,0,291,"Successful"
"[[[[Sentence1]]]]: Herceptin was already approved to treat the sickest breast cancer patients, and the company said, Monday, it will discuss with federal regulators the possibility of prescribing the drug for more breast cancer patients.<SPLIT>[[[[Sentence2]]]]: Herceptin can be used to [[treat]] breast cancer.","[[[[Sentence1]]]]: Herceptin was already approved to treat the sickest breast cancer patients, and the company said, Monday, it will discuss with federal regulators the possibility of prescribing the drug for more breast cancer patients.<SPLIT>[[[[Sentence2]]]]: Herceptin can be used to [[kickshaw]] breast cancer.",0.056423306465148926,0.9777265191078186,0,1,0,171,"Successful"
"[[[[Sentence1]]]]: Judie Vivian, chief executive at ProMedica, a medical service company that helps sustain the 2-year-old Vietnam Heart Institute in Ho Chi Minh City ([[formerly]] Saigon), said that so far about 1,500 children have received treatment.<SPLIT>[[[[Sentence2]]]]: The previous name of Ho Chi Minh City was Saigon.","[[[[Sentence1]]]]: Judie Vivian, chief executive at ProMedica, a medical service company that helps sustain the 2-year-old Vietnam Heart Institute in Ho Chi Minh City ([[erstwhile]] Saigon), said that so far about 1,500 children have received treatment.<SPLIT>[[[[Sentence2]]]]: The previous name of Ho Chi Minh City was Saigon.",0.462729275226593,0.9714741706848145,0,1,0,228,"Successful"
"[[[[Sentence1]]]]: A man is due in court later charged with the murder 26 years ago of a teenager whose case was the first to be featured on BBC One's Crimewatch. Colette Aram, 16, was walking to her boyfriend's house in Keyworth, Nottinghamshire, on 30 October 1983 when she disappeared. Her body was later found in a field close to her home. Paul Stewart Hutchinson, 50, has been [[charged]] with murder and is due before Nottingham magistrates later.<SPLIT>[[[[Sentence2]]]]: Paul Stewart Hutchinson is accused of having stabbed a girl.","[[[[Sentence1]]]]: A man is due in court later charged with the murder 26 years ago of a teenager whose case was the first to be featured on BBC One's Crimewatch. Colette Aram, 16, was walking to her boyfriend's house in Keyworth, Nottinghamshire, on 30 October 1983 when she disappeared. Her body was later found in a field close to her home. Paul Stewart Hutchinson, 50, has been [[commit]] with murder and is due before Nottingham magistrates later.<SPLIT>[[[[Sentence2]]]]: Paul Stewart Hutchinson is accused of having stabbed a girl.",0.0754319429397583,0.6024780869483948,1,0,1,421,"Successful"
"[[[[Sentence1]]]]: Britain said, Friday, that it has barred cleric, Omar Bakri, from returning to the country from Lebanon, where he was [[released]] by police after being detained for 24 hours.<SPLIT>[[[[Sentence2]]]]: Bakri was briefly detained, but was released.","[[[[Sentence1]]]]: Britain said, Friday, that it has barred cleric, Omar Bakri, from returning to the country from Lebanon, where he was [[unblock]] by police after being detained for 24 hours.<SPLIT>[[[[Sentence2]]]]: Bakri was briefly detained, but was released.",0.06209903955459595,0.7605286836624146,0,1,0,150,"Successful"
"[[[[Sentence1]]]]: Nearly 4 million children who have at least one parent who entered the U.S. illegally were born in the United States and are U.S. citizens as a result, according to the study conducted by the Pew Hispanic Center. That's about three quarters of the estimated 5.5 million children of illegal immigrants inside the United States, according to the study. About 1.8 million children of undocumented immigrants live in poverty, the study found.<SPLIT>[[[[Sentence2]]]]: Three quarters of U.S. illegal immigrants have children.","[[[[Sentence1]]]]: Nearly 4 million children who have at least one parent who entered the U.S. illegally were born in the United States and are U.S. citizens as a result, according to the study conducted by the Pew Hispanic Center. That's about three quarters of the estimated 5.5 million children of illegal immigrants inside the United States, according to the study. About 1.8 million children of undocumented immigrants live in poverty, the study found.<SPLIT>[[[[Sentence2]]]]: Three quarters of U.S. illegal immigrants have children.",0.5832149982452393,0.5832149982452393,0,0,1,1,"Skipped"
"[[[[Sentence1]]]]: Like the United States, U.N. officials are also dismayed that Aristide killed a conference [[called]] by Prime Minister Robert Malval in Port-au-Prince in hopes of bringing all the feuding parties together.<SPLIT>[[[[Sentence2]]]]: Aristide had [[Prime]] Minister Robert Malval  [[murdered]] in Port-au-Prince.","[[[[Sentence1]]]]: Like the United States, U.N. officials are also dismayed that Aristide killed a conference [[scream]] by Prime Minister Robert Malval in Port-au-Prince in hopes of bringing all the feuding parties together.<SPLIT>[[[[Sentence2]]]]: Aristide had [[undercoat]] Minister Robert Malval  [[murder]] in Port-au-Prince.",0.08330482244491577,0.6803927421569824,1,0,1,238,"Successful"
"[[[[Sentence1]]]]: WASHINGTON --  A newly declassified narrative of the Bush administration's advice to the CIA on harsh interrogations shows that the small group of Justice Department lawyers who wrote memos authorizing controversial interrogation techniques were operating not on their own but with direction from top administration officials, including then-Vice President Dick Cheney and national security adviser Condoleezza Rice. At the same time, the narrative suggests that then-Defense Secretary Donald H. Rumsfeld and then-Secretary of State Colin Powell were largely left out of the decision-making process.<SPLIT>[[[[Sentence2]]]]: Dick Cheney was the Vice President of [[Bush]].","[[[[Sentence1]]]]: WASHINGTON --  A newly declassified narrative of the Bush administration's advice to the CIA on harsh interrogations shows that the small group of Justice Department lawyers who wrote memos authorizing controversial interrogation techniques were operating not on their own but with direction from top administration officials, including then-Vice President Dick Cheney and national security adviser Condoleezza Rice. At the same time, the narrative suggests that then-Defense Secretary Donald H. Rumsfeld and then-Secretary of State Colin Powell were largely left out of the decision-making process.<SPLIT>[[[[Sentence2]]]]: Dick Cheney was the Vice President of [[Dubyuh]].",0.06981998682022095,0.9683442115783691,0,1,0,358,"Successful"
"[[[[Sentence1]]]]: Only a week after it had no comment on upping the [[storage]] capacity of its Hotmail e-mail service, Microsoft early Thursday announced it was boosting the allowance to 250MB to follow similar moves by rivals such as Google, Yahoo, and Lycos.<SPLIT>[[[[Sentence2]]]]: Microsoft's Hotmail has [[raised]] its [[storage]] [[capacity]] to 250MB.","[[[[Sentence1]]]]: Only a week after it had no comment on upping the [[depot]] capacity of its Hotmail e-mail service, Microsoft early Thursday announced it was boosting the allowance to 250MB to follow similar moves by rivals such as Google, Yahoo, and Lycos.<SPLIT>[[[[Sentence2]]]]: Microsoft's Hotmail has [[prove]] its [[repositing]] [[content]] to 250MB.",0.05536448955535889,0.6008233428001404,0,1,0,251,"Successful"
"[[[[Sentence1]]]]: Lina Joy, 42, was [[born]] Azlina Jailani to Malay parents, and was raised as a Muslim. Malaysia's constitution guarantees freedom of religion, but by law, all ethnic Malays are Muslim. Joy converted to Christianity at age 26, and after some bureaucratic difficulties had her named legally changed in 1999. However, on her MyKad national ID, the National Registration Department retained her stated religion as Islam. In order to have her religion changed, the National Registration Department said Joy would have to obtain a certificate of apostasy from the Muslim Sharia Court.<SPLIT>[[[[Sentence2]]]]: Lina Joy's [[parents]] are from Malaysia.","[[[[Sentence1]]]]: Lina Joy, 42, was [[deport]] Azlina Jailani to Malay parents, and was raised as a Muslim. Malaysia's constitution guarantees freedom of religion, but by law, all ethnic Malays are Muslim. Joy converted to Christianity at age 26, and after some bureaucratic difficulties had her named legally changed in 1999. However, on her MyKad national ID, the National Registration Department retained her stated religion as Islam. In order to have her religion changed, the National Registration Department said Joy would have to obtain a certificate of apostasy from the Muslim Sharia Court.<SPLIT>[[[[Sentence2]]]]: Lina Joy's [[rear]] are from Malaysia.",0.05947744846343994,0.7593364715576172,0,1,0,428,"Successful"
"[[[[Sentence1]]]]: November 9, 1989 , the day the Berlin Wall [[fell]] and the world changed forever . Not even the most astute saw it coming . As Hungary's foreign minister in the late summer of 1989 , Gyula Horn gave the order to let visiting East Germans use his country to do a 400-mile end run around the Berlin Wall , a move now seen as the beginning of the end for hard-line communism in Europe .<SPLIT>[[[[Sentence2]]]]: The Berlin Wall was torn down in 1989.","[[[[Sentence1]]]]: November 9, 1989 , the day the Berlin Wall [[settle]] and the world changed forever . Not even the most astute saw it coming . As Hungary's foreign minister in the late summer of 1989 , Gyula Horn gave the order to let visiting East Germans use his country to do a 400-mile end run around the Berlin Wall , a move now seen as the beginning of the end for hard-line communism in Europe .<SPLIT>[[[[Sentence2]]]]: The Berlin Wall was torn down in 1989.",0.058378636837005615,0.9537360072135925,0,1,0,597,"Successful"
"[[[[Sentence1]]]]: Valero Energy Corp., on Monday, said it found ""extensive"" additional damage at its 250,000-barrel-per-day Port Arthur refinery.<SPLIT>[[[[Sentence2]]]]: Valero Energy Corp. [[produces]] 250,000 barrels per day.","[[[[Sentence1]]]]: Valero Energy Corp., on Monday, said it found ""extensive"" additional damage at its 250,000-barrel-per-day Port Arthur refinery.<SPLIT>[[[[Sentence2]]]]: Valero Energy Corp. [[acquire]] 250,000 barrels per day.",0.0712130069732666,0.8334089517593384,0,1,0,142,"Successful"
"[[[[Sentence1]]]]: Oil prices [[fall]] back as Yukos oil threat lifted<SPLIT>[[[[Sentence2]]]]: Oil prices [[rise]].","[[[[Sentence1]]]]: Oil prices [[shine]] back as Yukos oil threat lifted<SPLIT>[[[[Sentence2]]]]: Oil prices [[lift]].",0.031653761863708496,0.8135770559310913,1,0,1,241,"Successful"
"[[[[Sentence1]]]]: Brian Brohm, the Louisville quarterback, [[threw]] for 368 yards and five touchdowns as the Cardinals beat visiting Oregon [[State]] 63-27.<SPLIT>[[[[Sentence2]]]]: The quarterback [[threw]] for 413 [[yards]] and three touchdowns, and then [[ran]] to the end zone two more [[times]].","[[[[Sentence1]]]]: Brian Brohm, the Louisville quarterback, [[make]] for 368 yards and five touchdowns as the Cardinals beat visiting Oregon [[state]] 63-27.<SPLIT>[[[[Sentence2]]]]: The quarterback [[give]] for 413 [[yard]] and three touchdowns, and then [[campaign]] to the end zone two more [[metre]].",0.02496582269668579,0.5159481167793274,1,0,1,493,"Successful"
