"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Sentence1]]]]: [[No]] Weapons of Mass Destruction [[Found]] in Iraq [[Yet]].<SPLIT>[[[[Sentence2]]]]: Weapons of Mass Destruction Found in Iraq.","[[[[Sentence1]]]]: [[Nc]] Weapons of Mass Destruction [[Foud]] in Iraq [[YeAt]].<SPLIT>[[[[Sentence2]]]]: Weapons of Mass Destruction Found in Iraq.",0.45363712310791016,0.5317639708518982,1,0,1,25,"Successful"
"[[[[Sentence1]]]]: A place of sorrow, after [[Pope]] John [[Paul]] II died, became a [[place]] of [[celebration]], as Roman Catholic faithful gathered in downtown [[Chicago]] to [[mark]] the installation of new Pope Benedict XVI.<SPLIT>[[[[Sentence2]]]]: Pope Benedict XVI is the new leader of the Roman Catholic Church.","[[[[Sentence1]]]]: A place of sorrow, after [[PVpe]] John [[Parul]] II died, became a [[plac]] of [[celebradtion]], as Roman Catholic faithful gathered in downtown [[gChicago]] to [[zmark]] the installation of new Pope Benedict XVI.<SPLIT>[[[[Sentence2]]]]: Pope Benedict XVI is the new leader of the Roman Catholic Church.",0.4063605070114136,0.5056408643722534,0,1,0,60,"Successful"
"[[[[Sentence1]]]]: Herceptin was already approved to treat the sickest breast cancer patients, and the company said, Monday, it will discuss with federal regulators the possibility of prescribing the drug for more breast cancer patients.<SPLIT>[[[[Sentence2]]]]: Herceptin can be used to treat breast cancer.","[[[[Sentence1]]]]: Herceptin was already approved to treat the sickest breast cancer patients, and the company said, Monday, it will discuss with federal regulators the possibility of prescribing the drug for more breast cancer patients.<SPLIT>[[[[Sentence2]]]]: Herceptin can be used to treat breast cancer.",0.5622426867485046,0.5622426867485046,1,1,0,1,"Skipped"
"[[[[Sentence1]]]]: Judie Vivian, chief executive at ProMedica, a medical service company that helps sustain the 2-year-old Vietnam Heart Institute in Ho Chi Minh City (formerly Saigon), said that so far about 1,500 children have received treatment.<SPLIT>[[[[Sentence2]]]]: The previous [[name]] of Ho Chi Minh City was Saigon.","[[[[Sentence1]]]]: Judie Vivian, chief executive at ProMedica, a medical service company that helps sustain the 2-year-old Vietnam Heart Institute in Ho Chi Minh City (formerly Saigon), said that so far about 1,500 children have received treatment.<SPLIT>[[[[Sentence2]]]]: The previous [[nme]] of Ho Chi Minh City was Saigon.",0.46055757999420166,0.5100393295288086,0,1,0,40,"Successful"
"[[[[Sentence1]]]]: A [[man]] is due in court [[later]] charged with the murder 26 years ago of a teenager [[whose]] case was the first to be featured on BBC One's Crimewatch. [[Colette]] Aram, 16, was walking to her boyfriend's house in Keyworth, Nottinghamshire, on 30 October 1983 when she disappeared. Her body was later found in a field close to her home. Paul Stewart Hutchinson, 50, has been charged with murder and is due before Nottingham [[magistrates]] later.<SPLIT>[[[[Sentence2]]]]: Paul Stewart Hutchinson is accused of having stabbed a girl.","[[[[Sentence1]]]]: A [[mna]] is due in court [[lZter]] charged with the murder 26 years ago of a teenager [[whosqe]] case was the first to be featured on BBC One's Crimewatch. [[Colemte]] Aram, 16, was walking to her boyfriend's house in Keyworth, Nottinghamshire, on 30 October 1983 when she disappeared. Her body was later found in a field close to her home. Paul Stewart Hutchinson, 50, has been charged with murder and is due before Nottingham [[magistrazes]] later.<SPLIT>[[[[Sentence2]]]]: Paul Stewart Hutchinson is accused of having stabbed a girl.",0.46298301219940186,0.5005248785018921,1,0,1,78,"Successful"
"[[[[Sentence1]]]]: Britain said, Friday, that it has barred cleric, Omar Bakri, from returning to the country from Lebanon, where he was released by police after being detained for 24 hours.<SPLIT>[[[[Sentence2]]]]: Bakri was briefly detained, but was released.","[[[[Sentence1]]]]: Britain said, Friday, that it has barred cleric, Omar Bakri, from returning to the country from Lebanon, where he was released by police after being detained for 24 hours.<SPLIT>[[[[Sentence2]]]]: Bakri was briefly detained, but was released.",0.5453466176986694,0.5453466176986694,1,1,0,1,"Skipped"
"[[[[Sentence1]]]]: Nearly 4 million children who have at least one parent who entered the U.S. illegally were born in the United States and are U.S. citizens as a result, according to the study conducted by the [[Pew]] Hispanic Center. That's about three quarters of the estimated 5.5 million children of illegal immigrants inside the United States, according to the study. About 1.8 million children of undocumented immigrants live in poverty, the study found.<SPLIT>[[[[Sentence2]]]]: Three quarters of U.S. illegal immigrants have children.","[[[[Sentence1]]]]: Nearly 4 million children who have at least one parent who entered the U.S. illegally were born in the United States and are U.S. citizens as a result, according to the study conducted by the [[ePw]] Hispanic Center. That's about three quarters of the estimated 5.5 million children of illegal immigrants inside the United States, according to the study. About 1.8 million children of undocumented immigrants live in poverty, the study found.<SPLIT>[[[[Sentence2]]]]: Three quarters of U.S. illegal immigrants have children.",0.49849897623062134,0.5175747871398926,1,0,1,62,"Successful"
"[[[[Sentence1]]]]: Like the United States, U.N. officials are [[also]] [[dismayed]] that Aristide killed a conference called by Prime Minister Robert Malval in Port-au-Prince in [[hopes]] of [[bringing]] all the [[feuding]] [[parties]] together.<SPLIT>[[[[Sentence2]]]]: Aristide had Prime Minister Robert Malval  [[murdered]] in Port-au-Prince.","[[[[Sentence1]]]]: Like the United States, U.N. officials are [[alo]] [[dismvayed]] that Aristide killed a conference called by Prime Minister Robert Malval in Port-au-Prince in [[hopse]] of [[brOnging]] all the [[femuding]] [[arties]] together.<SPLIT>[[[[Sentence2]]]]: Aristide had Prime Minister Robert Malval  [[murdured]] in Port-au-Prince.",0.43791961669921875,0.48770803213119507,1,1,1,138,"Failed"
"[[[[Sentence1]]]]: WASHINGTON --  A newly declassified narrative of the Bush administration's advice to the CIA on harsh interrogations shows that the small group of Justice Department lawyers who wrote memos authorizing controversial interrogation techniques were operating not on their own but with direction from top administration officials, including then-Vice President Dick Cheney and national security adviser Condoleezza Rice. At the same time, the narrative suggests that then-Defense Secretary Donald H. Rumsfeld and then-Secretary of State Colin Powell were largely left out of the decision-making process.<SPLIT>[[[[Sentence2]]]]: Dick Cheney was the Vice President of Bush.","[[[[Sentence1]]]]: WASHINGTON --  A newly declassified narrative of the Bush administration's advice to the CIA on harsh interrogations shows that the small group of Justice Department lawyers who wrote memos authorizing controversial interrogation techniques were operating not on their own but with direction from top administration officials, including then-Vice President Dick Cheney and national security adviser Condoleezza Rice. At the same time, the narrative suggests that then-Defense Secretary Donald H. Rumsfeld and then-Secretary of State Colin Powell were largely left out of the decision-making process.<SPLIT>[[[[Sentence2]]]]: Dick Cheney was the Vice President of Bush.",0.5380185842514038,0.5380185842514038,1,1,0,1,"Skipped"
"[[[[Sentence1]]]]: Only a week after it had no comment on upping the storage capacity of its Hotmail e-mail service, Microsoft early Thursday announced it was boosting the allowance to 250MB to follow similar moves by rivals such as Google, Yahoo, and Lycos.<SPLIT>[[[[Sentence2]]]]: Microsoft's Hotmail has raised its storage capacity to 250MB.","[[[[Sentence1]]]]: Only a week after it had no comment on upping the storage capacity of its Hotmail e-mail service, Microsoft early Thursday announced it was boosting the allowance to 250MB to follow similar moves by rivals such as Google, Yahoo, and Lycos.<SPLIT>[[[[Sentence2]]]]: Microsoft's Hotmail has raised its storage capacity to 250MB.",0.5869017839431763,0.5869017839431763,1,1,0,1,"Skipped"
"[[[[Sentence1]]]]: [[Lina]] Joy, 42, was born Azlina Jailani to [[Malay]] [[parents]], and was raised as a Muslim. [[Malaysia's]] constitution guarantees freedom of religion, but by law, all ethnic Malays are Muslim. [[Joy]] converted to Christianity at [[age]] 26, and after some bureaucratic difficulties had her named legally changed in [[1999]]. However, on her MyKad national ID, the National Registration Department retained her stated religion as Islam. In [[order]] to have her religion changed, the National Registration Department said Joy would have to obtain a certificate of apostasy from the Muslim Sharia Court.<SPLIT>[[[[Sentence2]]]]: [[Lina]] [[Joy's]] [[parents]] are from [[Malaysia]].","[[[[Sentence1]]]]: [[LiQa]] Joy, 42, was born Azlina Jailani to [[MaWlay]] [[pawents]], and was raised as a Muslim. [[Malhaysia's]] constitution guarantees freedom of religion, but by law, all ethnic Malays are Muslim. [[JoNy]] converted to Christianity at [[ae]] 26, and after some bureaucratic difficulties had her named legally changed in [[19V9]]. However, on her MyKad national ID, the National Registration Department retained her stated religion as Islam. In [[odrer]] to have her religion changed, the National Registration Department said Joy would have to obtain a certificate of apostasy from the Muslim Sharia Court.<SPLIT>[[[[Sentence2]]]]: [[Lia]] [[TJoy's]] [[parnts]] are from [[Malasia]].",0.4004771113395691,0.5074440240859985,0,1,0,110,"Successful"
"[[[[Sentence1]]]]: November 9, 1989 , the day the Berlin Wall fell and the world changed forever . Not even the most astute saw it coming . As Hungary's foreign minister in the late summer of 1989 , [[Gyula]] Horn gave the order to let visiting East Germans use his country to do a 400-mile end run around the Berlin Wall , a move now seen as the beginning of the end for hard-line communism in Europe .<SPLIT>[[[[Sentence2]]]]: The Berlin Wall was torn down in 1989.","[[[[Sentence1]]]]: November 9, 1989 , the day the Berlin Wall fell and the world changed forever . Not even the most astute saw it coming . As Hungary's foreign minister in the late summer of 1989 , [[Gyual]] Horn gave the order to let visiting East Germans use his country to do a 400-mile end run around the Berlin Wall , a move now seen as the beginning of the end for hard-line communism in Europe .<SPLIT>[[[[Sentence2]]]]: The Berlin Wall was torn down in 1989.",0.49976152181625366,0.509585976600647,0,1,0,55,"Successful"
"[[[[Sentence1]]]]: Valero Energy Corp., on Monday, said it found ""extensive"" additional damage at its 250,000-barrel-per-day Port Arthur refinery.<SPLIT>[[[[Sentence2]]]]: Valero Energy Corp. produces 250,000 barrels per day.","[[[[Sentence1]]]]: Valero Energy Corp., on Monday, said it found ""extensive"" additional damage at its 250,000-barrel-per-day Port Arthur refinery.<SPLIT>[[[[Sentence2]]]]: Valero Energy Corp. produces 250,000 barrels per day.",0.6165196895599365,0.6165196895599365,1,1,0,1,"Skipped"
"[[[[Sentence1]]]]: [[Oil]] prices [[fall]] [[back]] as [[Yukos]] [[oil]] [[threat]] [[lifted]]<SPLIT>[[[[Sentence2]]]]: Oil prices [[rise]].","[[[[Sentence1]]]]: [[ODil]] prices [[fal]] [[bcak]] as [[Yukol]] [[Ooil]] [[thHreat]] [[lAfted]]<SPLIT>[[[[Sentence2]]]]: Oil prices [[risI]].",0.3738263249397278,0.507070004940033,1,0,1,51,"Successful"
"[[[[Sentence1]]]]: [[Brian]] [[Brohm]], the [[Louisville]] [[quarterback]], threw for [[368]] [[yards]] and [[five]] [[touchdowns]] as the [[Cardinals]] [[beat]] visiting [[Oregon]] State [[63-27]].<SPLIT>[[[[Sentence2]]]]: [[The]] quarterback [[threw]] for 413 [[yards]] and three touchdowns, and then ran to the [[end]] [[zone]] [[two]] more times.","[[[[Sentence1]]]]: [[Brina]] [[DBrohm]], the [[Louisviljle]] [[qarterback]], threw for [[386]] [[ards]] and [[fiLe]] [[touchdows]] as the [[ardinals]] [[ebat]] visiting [[OregoK]] State [[I63-27]].<SPLIT>[[[[Sentence2]]]]: [[IThe]] quarterback [[thew]] for 413 [[ards]] and three touchdowns, and then ran to the [[en]] [[done]] [[tGo]] more times.",0.35203278064727783,0.475517213344574,1,1,1,135,"Failed"
"[[[[Sentence1]]]]: Greg Page, a former heavyweight boxing champion who suffered a severe brain injury in a 2001 fight, has died at 50. His wife Patricia said the one-time WBA champion had died at his home in Kentucky, USA, of complications related to injuries he suffered in the fight. Page was in a coma for a week after the 9 March 2001 fight against Dale Crowe which was stopped in the 10th round. Patricia Page said he was ""in a better place now"" after announcing on Monday he had died overnight in his sleep.<SPLIT>[[[[Sentence2]]]]: [[Greg]] Page was a WBA champion.","[[[[Sentence1]]]]: Greg Page, a former heavyweight boxing champion who suffered a severe brain injury in a 2001 fight, has died at 50. His wife Patricia said the one-time WBA champion had died at his home in Kentucky, USA, of complications related to injuries he suffered in the fight. Page was in a coma for a week after the 9 March 2001 fight against Dale Crowe which was stopped in the 10th round. Patricia Page said he was ""in a better place now"" after announcing on Monday he had died overnight in his sleep.<SPLIT>[[[[Sentence2]]]]: [[Geg]] Page was a WBA champion.",0.47599196434020996,0.5001829266548157,0,1,0,61,"Successful"
