,original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,perturbed_statement,evaluation_output
0,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would [[strengthen]] Eesti Telekom 's offering to its customers .,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would [[stregnthen]] Eesti Telekom 's offering to its customers .,0.0008702874183654,0.9244953393936156,2,1,2,22,Successful,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would stregnthen Eesti Telekom 's offering to its customers .,1
1,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) [[raised]] the fair [[value]] for shares in four of the largest Nordic forestry groups .","STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) [[rarsed]] the fair [[vaue]] for shares in four of the largest Nordic forestry groups .",0.0005322098731994,0.966362237930298,2,1,2,29,Successful,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) rarsed the fair vaue for shares in four of the largest Nordic forestry groups .",1
2,"[[Clothing]] [[retail]] [[chain]] [[Sepp]]+ñl+ñ 's sales [[increased]] by 8 % to EUR 155.2 mn , and operating profit rose to EUR [[31]].1 [[mn]] from EUR [[17]].1 mn in [[2004]] .","[[Clthing]] [[Mretail]] [[clain]] [[Spep]]+ñl+ñ 's sales [[Eincreased]] by 8 % to EUR 155.2 mn , and operating profit rose to EUR [[3W]].1 [[n]] from EUR [[1H]].1 mn in [[004]] .",0.0005964040756225,0.0006895065307617,2,2,2,103,Failed,"Clthing Mretail clain Spep+ñl+ñ 's sales Eincreased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 3W.1 n from EUR 1H.1 mn in 004 .",2
3,"Lifetree was founded in 2000 , and its [[revenues]] have [[risen]] on an average by 40 % with margins in late 30s .","Lifetree was founded in 2000 , and its [[revnues]] have [[isen]] on an average by 40 % with margins in late 30s .",0.0005738735198974,0.9870514273643494,2,1,2,19,Successful,"Lifetree was founded in 2000 , and its revnues have isen on an average by 40 % with margins in late 30s .",1
4,Nordea [[Group]] 's operating [[profit]] [[increased]] in [[2010]] by [[18]] percent [[year-on-year]] to 3.[[64]] [[billion]] euros and [[total]] revenue by 3 [[percent]] to 9.[[33]] [[billion]] euros .,Nordea [[GroBup]] 's operating [[wrofit]] [[nicreased]] in [[2001]] by [[1A8]] percent [[yfear-on-year]] to 3.[[46]] [[bilion]] euros and [[ottal]] revenue by 3 [[pecent]] to 9.[[3P]] [[billoin]] euros .,0.0005275607109069,0.9229066371917723,2,1,2,89,Successful,Nordea GroBup 's operating wrofit nicreased in 2001 by 1A8 percent yfear-on-year to 3.46 bilion euros and ottal revenue by 3 pecent to 9.3P billoin euros .,1
5,"Operating [[profit]] for the [[nine-month]] period [[increased]] from EUR3 .1 m and net sales [[increased]] from EUR61 .5 m , as [[compared]] to the [[corresponding]] [[period]] in [[2007]] .","Operating [[profKit]] for the [[nine-monBth]] period [[increaQed]] from EUR3 .1 m and net sales [[increaesd]] from EUR61 .5 m , as [[compaerd]] to the [[correspondnig]] [[perido]] in [[2X07]] .",0.0008563995361328,0.9997760653495787,2,1,2,48,Successful,"Operating profKit for the nine-monBth period increaQed from EUR3 .1 m and net sales increaesd from EUR61 .5 m , as compaerd to the correspondnig perido in 2X07 .",1
6,"The Lithuanian beer market made up 14.41 million liters in January , a [[rise]] of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .","The Lithuanian beer market made up 14.41 million liters in January , a [[rile]] of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",0.000611662864685,0.997710347175598,2,0,2,28,Successful,"The Lithuanian beer market made up 14.41 million liters in January , a rile of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",0
7,"[[In]] January-September [[2010]] , [[Fiskars]] ' [[net]] profit [[went]] up by [[14]] % [[year-on-year]] to [[EUR]] 65.4 [[million]] and [[net]] sales to EUR [[525]].3 million from [[EUR]] 487.7 [[million]] .","[[Ijn]] January-September [[2001]] , [[Fiskras]] ' [[et]] profit [[wetn]] up by [[t14]] % [[year-ony-ear]] to [[EPUR]] 65.4 [[millDion]] and [[Dnet]] sales to EUR [[55]].3 million from [[EUz]] 487.7 [[illion]] .",0.0005896091461181,0.0007969737052917,2,2,2,103,Failed,"Ijn January-September 2001 , Fiskras ' et profit wetn up by t14 % year-ony-ear to EPUR 65.4 millDion and Dnet sales to EUR 55.3 million from EUz 487.7 illion .",2
8,"Net income from life insurance [[rose]] to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .","Net income from life insurance [[rosje]] to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",0.000818908214569,0.9958478808403016,2,1,2,31,Successful,"Net income from life insurance rosje to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",1
9,"Nyrstar has [[also]] [[agreed]] to [[supply]] to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .","Nyrstar has [[als]] [[agreeId]] to [[upply]] to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",0.0006099939346313,0.5338057279586792,2,1,2,32,Successful,"Nyrstar has als agreeId to upply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",1
