,original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,perturbed_statement,evaluation_output
0,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would [[strengthen]] Eesti Telekom 's offering to its customers .,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would [[tone]] Eesti Telekom 's offering to its customers .,0.0008702874183654,0.924209713935852,2,1,2,180,Successful,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would tone Eesti Telekom 's offering to its customers .,1
1,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) [[raised]] the [[fair]] value for shares in four of the largest Nordic forestry groups .","STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) [[resurrect]] the [[bazaar]] value for shares in four of the largest Nordic forestry groups .",0.0005322098731994,0.9993445873260498,2,1,2,210,Successful,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) resurrect the bazaar value for shares in four of the largest Nordic forestry groups .",1
2,"[[Clothing]] retail chain Sepp+ñl+ñ 's sales increased by [[8]] % to EUR 155.2 mn , and operating [[profit]] [[rose]] to EUR 31.[[1]] [[mn]] from EUR 17.[[1]] mn in 2004 .","[[habiliment]] retail chain Sepp+ñl+ñ 's sales increased by [[ogdoad]] % to EUR 155.2 mn , and operating [[profits]] [[rebel]] to EUR 31.[[one]] [[manganese]] from EUR 17.[[ane]] mn in 2004 .",0.0005964040756225,0.8561632633209229,2,0,2,235,Successful,"habiliment retail chain Sepp+ñl+ñ 's sales increased by ogdoad % to EUR 155.2 mn , and operating profits rebel to EUR 31.one manganese from EUR 17.ane mn in 2004 .",0
3,"Lifetree was founded in 2000 , and its revenues have [[risen]] on an average by 40 % with margins in late 30s .","Lifetree was founded in 2000 , and its revenues have [[rebel]] on an average by 40 % with margins in late 30s .",0.0005738735198974,0.9903069138526917,2,0,2,94,Successful,"Lifetree was founded in 2000 , and its revenues have rebel on an average by 40 % with margins in late 30s .",0
4,Nordea [[Group]] 's [[operating]] [[profit]] [[increased]] in 2010 by [[18]] [[percent]] year-on-year to [[3]].64 [[billion]] euros and [[total]] [[revenue]] by [[3]] [[percent]] to [[9]].33 [[billion]] euros .,Nordea [[grouping]] 's [[engage]] [[earnings]] [[increase]] in 2010 by [[eighteen]] [[percentage]] year-on-year to [[troika]].64 [[million]] euros and [[aggregate]] [[receipts]] by [[troika]] [[percentage]] to [[niner]].33 [[gazillion]] euros .,0.0005275607109069,0.0009484887123107,2,2,2,236,Failed,Nordea grouping 's engage earnings increase in 2010 by eighteen percentage year-on-year to troika.64 million euros and aggregate receipts by troika percentage to niner.33 gazillion euros .,2
5,"Operating [[profit]] for the nine-month period increased from EUR3 .1 m and [[net]] [[sales]] increased from EUR61 .[[5]] m , as [[compared]] to the [[corresponding]] period in 2007 .","Operating [[lucre]] for the nine-month period increased from EUR3 .1 m and [[last]] [[sale]] increased from EUR61 .[[pentad]] m , as [[equate]] to the [[match]] period in 2007 .",0.0008563995361328,0.9921702146530152,2,1,2,152,Successful,"Operating lucre for the nine-month period increased from EUR3 .1 m and last sale increased from EUR61 .pentad m , as equate to the match period in 2007 .",1
6,"The Lithuanian beer market made up 14.41 million liters in January , a [[rise]] of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .","The Lithuanian beer market made up 14.41 million liters in January , a [[resurrect]] of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",0.000611662864685,0.9988627433776855,2,1,2,246,Successful,"The Lithuanian beer market made up 14.41 million liters in January , a resurrect of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",1
7,"In January-September 2010 , Fiskars ' net profit [[went]] up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .","In January-September 2010 , Fiskars ' net profit [[die]] up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",0.0005896091461181,0.8906407356262207,2,0,2,204,Successful,"In January-September 2010 , Fiskars ' net profit die up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",0
8,"Net income from life insurance [[rose]] to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .","Net income from life insurance [[originate]] to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",0.000818908214569,0.9996545910835266,2,1,2,175,Successful,"Net income from life insurance originate to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",1
9,"Nyrstar has also agreed to [[supply]] to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .","Nyrstar has also agreed to [[append]] to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",0.0006099939346313,0.8961356282234192,2,1,2,149,Successful,"Nyrstar has also agreed to append to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",1
