,original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,perturbed_statement,evaluation_output
0,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would [[strengthen]] Eesti Telekom 's offering to its customers .,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would [[streոgthen]] Eesti Telekom 's offering to its customers .,0.0008702874183654,0.884644627571106,2,1,2,36,Successful,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would streոgthen Eesti Telekom 's offering to its customers .,2
1,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) [[raised]] the fair [[value]] for [[shares]] in four of the largest Nordic forestry groups .","STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) [[hiked]] the fair [[vɑlue]] for [[sahres]] in four of the largest Nordic forestry groups .",0.0005322098731994,0.9943677186965942,2,1,2,62,Successful,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) hiked the fair vɑlue for sahres in four of the largest Nordic forestry groups .",1
2,"[[Clothing]] [[retail]] [[chain]] [[Sepp]]+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit [[rose]] to EUR [[31]].[[1]] [[mn]] from EUR [[17]].[[1]] [[mn]] in [[2004]] .","[[Apparel]] [[reatil]] [[ϲhain]] [[Seрp]]+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit [[soared]] to EUR [[3l]].[[l]] [[minnesota]] from EUR [[l7]].[[l]] [[minutes]] in [[2O04]] .",0.0005964040756225,0.0007544755935668,2,2,2,126,Failed,"Apparel reatil ϲhain Seрp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit soared to EUR 3l.l minnesota from EUR l7.l minutes in 2O04 .",2
3,"Lifetree was founded in 2000 , and its revenues have [[risen]] on an average by 40 % with margins in late 30s .","Lifetree was founded in 2000 , and its revenues have [[hiked]] on an average by 40 % with margins in late 30s .",0.0005738735198974,0.9989986419677734,2,0,2,24,Successful,"Lifetree was founded in 2000 , and its revenues have hiked on an average by 40 % with margins in late 30s .",2
4,[[Nordea]] Group 's operating profit [[increased]] in 2010 by [[18]] percent [[year-on-year]] to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,[[No]] [[rdea]] Group 's operating profit [[increaseԁ]] in 2010 by [[1Ȣ]] percent [[year˗on-year]] to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,0.0005275607109069,0.7702531814575195,2,1,2,74,Successful,No rdea Group 's operating profit increaseԁ in 2010 by 1Ȣ percent year˗on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,2
5,"Operating [[profit]] for the [[nine-month]] period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as [[compared]] to the corresponding period in [[2007]] .","Operating [[profi𝚝]] for the [[nine-mon𝚝h]] period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as [[compareԁ]] to the corresponding period in [[200𝟕]] .",0.0008563995361328,0.0017334818840026,2,2,2,63,Failed,"Operating profi𝚝 for the nine-mon𝚝h period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compareԁ to the corresponding period in 200𝟕 .",2
6,"The Lithuanian beer market made up 14.41 million liters in January , a [[rise]] of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .","The Lithuanian beer market made up 14.41 million liters in January , a [[rіse]] of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",0.000611662864685,0.9927270412445068,2,1,2,36,Successful,"The Lithuanian beer market made up 14.41 million liters in January , a rіse of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",2
7,"[[In]] [[January-September]] [[2010]] , Fiskars ' net [[profit]] [[went]] up by [[14]] % year-on-year to [[EUR]] 65.4 million and net sales to EUR [[525]].3 [[million]] from EUR 487.7 [[million]] .","[[For]] [[Janսary-September]] [[210]] , Fiskars ' net [[earnings]] [[wеnt]] up by [[l4]] % year-on-year to [[EUROPEAN]] 65.4 million and net sales to EUR [[55]].3 [[billions]] from EUR 487.7 [[m]] [[illion]] .",0.0005896091461181,0.0007416605949401,2,2,2,140,Failed,"For Janսary-September 210 , Fiskars ' net earnings wеnt up by l4 % year-on-year to EUROPEAN 65.4 million and net sales to EUR 55.3 billions from EUR 487.7 m illion .",2
8,"Net income from life insurance [[rose]] to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .","Net income from life insurance [[rsoe]] to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",0.000818908214569,0.972622275352478,2,1,2,39,Successful,"Net income from life insurance rsoe to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",2
9,"Nyrstar has also [[agreed]] to [[supply]] to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .","Nyrstar has also [[accepted]] to [[supplу]] to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",0.0006099939346313,0.987937867641449,2,1,2,49,Successful,"Nyrstar has also accepted to supplу to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",1
10,[[The]] agreement [[strengthens]] our long-term partnership with Nokia Siemens Networks .,[[Tհe]] agreement [[streոgthens]] our long-term partnership with Nokia Siemens Networks .,0.0006083250045776,0.829237699508667,2,1,2,37,Successful,Tհe agreement streոgthens our long-term partnership with Nokia Siemens Networks .,2
11,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today [[signed]] an [[agreement]] by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .","KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today [[signeԁ]] an [[agreements]] by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",0.0007235407829284,0.6738274693489075,2,1,2,62,Successful,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signeԁ an agreements by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",2
12,"[[The]] OMX Helsinki [[25]] [[index]] was up 0.[[92]] [[pct]] at [[2]],[[518]].67 and the Helsinki [[CAP]] portfolio index was 0.91 [[pct]] higher at [[4]],[[711]].19 .","[[Per]] OMX Helsinki [[2Ƽ]] [[indicator]] was up 0.[[9ᒿ]] [[pt]] at [[ᒿ]],[[5]] [[18]].67 and the Helsinki [[CAPS]] portfolio index was 0.91 [[pc𝚝]] higher at [[Ꮞ]],[[71]].19 .",0.0005574822425842,0.0007826089859008,2,2,2,73,Failed,"Per OMX Helsinki 2Ƽ indicator was up 0.9ᒿ pt at ᒿ,5 18.67 and the Helsinki CAPS portfolio index was 0.91 pc𝚝 higher at Ꮞ,71.19 .",2
13,Tiimari [[operates]] 194 stores in six countries -- including its core Finnish market -- and generated a [[turnover]] of 76.5 mln eur in 2005 .,Tiimari [[oeprates]] 194 stores in six countries -- including its core Finnish market -- and generated a [[churn]] of 76.5 mln eur in 2005 .,0.0005393624305725,0.6383451223373413,1,2,1,64,Successful,Tiimari oeprates 194 stores in six countries -- including its core Finnish market -- and generated a churn of 76.5 mln eur in 2005 .,0
14,Under this agreement Biohit becomes a focus [[supplier]] of pipettors and disposable pipettor tips to VWR customers throughout Europe .,Under this agreement Biohit becomes a focus [[purveyor]] of pipettors and disposable pipettor tips to VWR customers throughout Europe .,0.0014497637748718,0.6750056743621826,2,1,2,31,Successful,Under this agreement Biohit becomes a focus purveyor of pipettors and disposable pipettor tips to VWR customers throughout Europe .,1
15,"Adjusted for changes in the Group structure , the Division 's net sales [[increased]] by 1.7 % .","Adjusted for changes in the Group structure , the Division 's net sales [[increɑsed]] by 1.7 % .",0.0005604624748229,0.8700227737426758,2,1,2,28,Successful,"Adjusted for changes in the Group structure , the Division 's net sales increɑsed by 1.7 % .",2
16,Finnish Aktia Group 's operating profit [[rose]] to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,Finnish Aktia Group 's operating profit [[hiked]] to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,0.0006313920021057,0.9690409302711488,2,0,2,33,Successful,Finnish Aktia Group 's operating profit hiked to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,2
17,"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an [[increase]] of 11.2 % from a year earlier .","Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an [[increɑse]] of 11.2 % from a year earlier .",0.0006898641586303,0.7663551568984985,2,1,2,41,Successful,"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increɑse of 11.2 % from a year earlier .",2
18,Biohit already services many current Genesis customers and the customer base is expected to [[expand]] as a result of this agreement .,Biohit already services many current Genesis customers and the customer base is expected to [[expanԁ]] as a result of this agreement .,0.0007159113883972,0.9816052913665771,2,1,2,28,Successful,Biohit already services many current Genesis customers and the customer base is expected to expanԁ as a result of this agreement .,0
19,Circulation revenue has [[increased]] by 5 % in Finland and 4 % in Sweden in 2008 .,Circulation revenue has [[increaseԁ]] by 5 % in Finland and 4 % in Sweden in 2008 .,0.000552475452423,0.9922937750816344,2,1,2,26,Successful,Circulation revenue has increaseԁ by 5 % in Finland and 4 % in Sweden in 2008 .,2
20,"[[In]] 2009 , Fiskars ' [[cash]] flow from operating activities [[amounted]] to EUR121m , up from EUR97m in the previous year .","[[At]] 2009 , Fiskars ' [[cashier]] flow from operating activities [[totaled]] to EUR121m , up from EUR97m in the previous year .",0.0005592703819274,0.0006301999092102,2,2,2,31,Failed,"At 2009 , Fiskars ' cashier flow from operating activities totaled to EUR121m , up from EUR97m in the previous year .",2
21,Operating profit [[margin]] [[increased]] from 11.2 % to 11.7 % .,Operating profit [[sidelines]] [[increɑsed]] from 11.2 % to 11.7 % .,0.0005803108215332,0.2634631395339966,2,2,2,42,Failed,Operating profit sidelines increɑsed from 11.2 % to 11.7 % .,0
22,"The circuit 's overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being [[reached]] on individual days .","The circuit 's overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being [[re]] [[ached]] on individual days .",0.0006396174430847,0.9282798767089844,2,0,2,40,Successful,"The circuit 's overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being re ached on individual days .",0
23,"The last quarter was the best quarter of [[2009]] in net sales , and the [[operating]] margin [[rose]] to 12.2 % .","The last quarter was the best quarter of [[20O9]] in net sales , and the [[operate]] margin [[hiked]] to 12.2 % .",0.0005260109901428,0.0739871263504028,2,2,2,38,Failed,"The last quarter was the best quarter of 20O9 in net sales , and the operate margin hiked to 12.2 % .",2
24,"The transaction [[doubles]] Tecnomens workforse , and adds a fourth to their net sales .","The transaction [[twofold]] Tecnomens workforse , and adds a fourth to their net sales .",0.0006594061851501,0.9947003722190856,2,1,2,25,Successful,"The transaction twofold Tecnomens workforse , and adds a fourth to their net sales .",2
25,"`` The priority for 2009 was to [[strengthen]] the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .","`` The priority for 2009 was to [[strenɡthen]] the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .",0.001566469669342,0.7140748500823975,2,1,2,34,Successful,"`` The priority for 2009 was to strenɡthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .",2
