"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Altia 's operating profit [[jumped]] to EUR 47 million from EUR 6.6 million .","Altia 's operating profit [[derail]] to EUR 47 million from EUR 6.6 million .",0.0007036924362182617,0.9980698227882385,2,0,2,95,"Successful"
"The agreement was [[signed]] with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .","The agreement was [[subscribe]] with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",0.0014005303382873535,0.99718177318573,2,1,2,141,"Successful"
"Kesko pursues a strategy of healthy , focused [[growth]] concentrating on sales and services to consumer-customers .","Kesko pursues a strategy of healthy , focused [[ontogenesis]] concentrating on sales and services to consumer-customers .",0.0005785226821899414,0.9981211423873901,2,1,2,80,"Successful"
"Vaisala , headquartered in [[Helsinki]] in Finland , [[develops]] and [[manufactures]] electronic measurement [[systems]] for meteorology , environmental sciences , traffic and industry .","Vaisala , headquartered in [[Helsingfors]] in Finland , [[modernize]] and [[construct]] electronic measurement [[system]] for meteorology , environmental sciences , traffic and industry .",0.0006266236305236816,0.7641813158988953,1,2,1,95,"Successful"
"[[Also]] , a six-year historic [[analysis]] is [[provided]] for these [[markets]] .","[[likewise]] , a six-year historic [[psychoanalysis]] is [[supply]] for these [[commercialize]] .",0.0007799863815307617,0.03214895725250244,1,1,1,49,"Failed"
"Elcoteq 's [[stock]] of orders has [[stabilised]] in the past weeks , Mr Krippl said .","Elcoteq 's [[banal]] of orders has [[brace]] in the past weeks , Mr Krippl said .",0.0006445050239562988,0.997558057308197,2,0,2,147,"Successful"
"[[Also]] , a six-year historic [[analysis]] is [[provided]] for this [[market]] .","[[too]] , a six-year historic [[psychoanalysis]] is [[supply]] for this [[commercialize]] .",0.0007697343826293945,0.006947994232177734,1,1,1,47,"Failed"
"In [[addition]] , nine fixed-term employment [[contracts]] will not be [[extended]] and two people will leave the company under pension arrangements .","In [[increase]] , nine fixed-term employment [[cut]] will not be [[strain]] and two people will leave the company under pension arrangements .",0.0016512870788574219,0.9290290474891663,1,2,1,183,"Successful"
"[[Operating]] [[loss]] [[totalled]] EUR [[0]].9 mn , down from a [[profit]] of EUR 2.7 [[mn]] .","[[operational]] [[release]] [[tot]] EUR [[cipher]].9 mn , down from a [[earnings]] of EUR 2.7 [[manganese]] .",0.0013597607612609863,0.0022635459899902344,0,0,0,143,"Failed"
"The Insolvency Act regulates the [[amount]] of debt that borrowers are [[permitted]] to [[write]] off .","The Insolvency Act regulates the [[measure]] of debt that borrowers are [[countenance]] to [[save]] off .",0.0009548068046569824,0.0014058947563171387,1,1,1,104,"Failed"
"The company will [[issue]] an inaugural Eurobond deal in the near future [[subject]] to market conditions .","The company will [[supply]] an inaugural Eurobond deal in the near future [[capable]] to market conditions .",0.0010034441947937012,0.9992219805717468,1,2,1,202,"Successful"
"Airbus will [[attempt]] to [[evacuate]] up to 873 people within 90 seconds .","Airbus will [[endeavor]] to [[void]] up to 873 people within 90 seconds .",0.0026398301124572754,0.934257984161377,1,0,1,56,"Successful"
"UPM-Kymmene has generated seventeen consecutive quarters of [[positive]] Cash Flow from Operations .","UPM-Kymmene has generated seventeen consecutive quarters of [[overconfident]] Cash Flow from Operations .",0.0006474852561950684,0.9987456202507019,2,0,2,90,"Successful"
"[[Founded]] in 1946 , [[Strand]] [[Associates]] , which [[provides]] [[civil]] , environmental , [[transportation]] , electrical and mechanical [[engineering]] [[services]] , has 350 employees at [[10]] [[offices]] in [[Wisconsin]] , [[Alabama]] , Illinois , Indiana , [[Kentucky]] and [[Ohio]] .","[[institute]] in 1946 , [[ground]] [[colligate]] , which [[provide]] [[polite]] , environmental , [[expatriation]] , electrical and mechanical [[mastermind]] [[help]] , has 350 employees at [[decade]] [[power]] in [[WI]] , [[AL]] , Illinois , Indiana , [[KY]] and [[OH]] .",0.0005620121955871582,0.0011783242225646973,1,1,1,211,"Failed"
"Fortum expects its annual capital expenditure in the next four to five years to be within a [[range]] of EUR 0.8-1 .2 billion , as earlier announced .","Fortum expects its annual capital expenditure in the next four to five years to be within a [[reach]] of EUR 0.8-1 .2 billion , as earlier announced .",0.0005176067352294922,0.9964327216148376,1,2,1,175,"Successful"
"[[In]] 2006 , 452 [[million]] tonnes CO2 of EUA ( [[EU]] Allowance ; [[emissions]] [[credit]] in [[EU]] ) was [[traded]] with an [[underlying]] market [[value]] approx .","[[inch]] 2006 , 452 [[trillion]] tonnes CO2 of EUA ( [[Europe]] Allowance ; [[expelling]] [[acknowledgment]] in [[europium]] ) was [[switch]] with an [[inherent]] market [[esteem]] approx .",0.000820457935333252,0.8294623494148254,1,2,1,159,"Successful"
"[[According]] to Tyrv+ñinen 's estimation , Japan is a very [[essential]] location in terms of Finnair 's Asian strategy .","[[harmonize]] to Tyrv+ñinen 's estimation , Japan is a very [[indispensable]] location in terms of Finnair 's Asian strategy .",0.0015004873275756836,0.7656596899032593,1,2,1,69,"Successful"
"Fiskars , a 360-year-old global business best known for its orange-handled scissors , [[expects]] to [[derive]] synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete .","Fiskars , a 360-year-old global business best known for its orange-handled scissors , [[ask]] to [[infer]] synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete .",0.0007981657981872559,0.7998561263084412,2,1,2,189,"Successful"
"Nordea was the [[cheapest]] also for a [[couple]] in their 30s with debt .","Nordea was the [[tawdry]] also for a [[twin]] in their 30s with debt .",0.0018377900123596191,0.7545427083969116,1,0,1,91,"Successful"
"The companies [[aim]] to [[close]] the deal before the end of the year .","The companies [[drive]] to [[close-fitting]] the deal before the end of the year .",0.0010383129119873047,0.9752508401870728,1,2,1,180,"Successful"
"Several large stocks tacked [[lower]] , however .","Several large stocks tacked [[depress]] , however .",0.0016592741012573242,0.9995003342628479,0,1,0,126,"Successful"
"With this , the company will [[exit]] the contract manufacturing service segment .","With this , the company will [[loss]] the contract manufacturing service segment .",0.0011132359504699707,0.9759511947631836,1,0,1,85,"Successful"
"The tower it chose to add , due to go into operation in the summer , will [[increase]] total [[capacity]] to 80 broadsheet or 160 tabloid pages , with the ability to run 32 - and 48-page products side by side .","The tower it chose to add , due to go into operation in the summer , will [[increment]] total [[content]] to 80 broadsheet or 160 tabloid pages , with the ability to run 32 - and 48-page products side by side .",0.00047659873962402344,0.9914512634277344,2,1,2,225,"Successful"
"Boomerang Boats had net sales of EUR 4.1 mn and it made an operating [[profit]] of EUR 0.4 mn in 2006 .","Boomerang Boats had net sales of EUR 4.1 mn and it made an operating [[gain]] of EUR 0.4 mn in 2006 .",0.000621795654296875,0.9997017979621887,1,2,1,155,"Successful"
"It [[operates]] under [[three]] [[distinct]] [[brands]] : [[United]] [[Supermarkets]] , Market Street and United Supermercado .","It [[manoeuvre]] under [[leash]] [[trenchant]] [[denounce]] : [[joined]] [[supermarket]] , Market Street and United Supermercado .",0.0005542635917663574,0.001317441463470459,1,1,1,168,"Failed"
"The contractor of the shopping center , China State Construction Engineering Corporation , has previously [[built]] e.g. airports , hotels and factories for [[large]] international customers in [[different]] parts of the world .","The contractor of the shopping center , China State Construction Engineering Corporation , has previously [[reinforced]] e.g. airports , hotels and factories for [[great]] international customers in [[unlike]] parts of the world .",0.0009275674819946289,0.8878291249275208,1,2,1,230,"Successful"
"The order was [[valued]] at USD12 .2 m.","The order was [[esteem]] at USD12 .2 m.",0.0007495284080505371,0.8692300319671631,1,2,1,70,"Successful"
"To our members and partners , the [[use]] of IT will mostly be [[apparent]] in the increased efficiency of the results service , '' observes Perttu Puro from Tradeka .","To our members and partners , the [[purpose]] of IT will mostly be [[patent]] in the increased efficiency of the results service , '' observes Perttu Puro from Tradeka .",0.0006275773048400879,0.534496545791626,2,1,2,123,"Successful"
